Index,Entry-Date,Entry-Weekday,Entry-Time,Entry-Price,Quantity,Instrument-Kind,StrikePrice,Position,ExitDate,Exit-Weekday,ExitTime,ExitPrice,P/L,P/L-Percentage,ExpiryDate,Highest MTM(Candle Close),Lowest MTM(Candle Close),Remarks
227.1,2024-12-03,Tuesday,09:19:00,346.55,20,CE,81000.0,Sell,2024-12-03,Tuesday,10:30:00,433.2,-1732.9999999999995,-25.00360698311931,2024-12-06,,,Stop Loss Hit
227.2,2024-12-03,Tuesday,09:19:00,349.2,20,PE,79700.0,Sell,2024-12-03,Tuesday,15:15:00,205.95,2865.0,41.02233676975945,2024-12-06,,,Exit Condition Met For Trade
228,2024-12-04,,09:19:00,80918.94,,,,,2024-12-04,,11:57:00,80810.53,-1820.0,,,928.0,-1820.0,
228.1,2024-12-04,Wednesday,09:19:00,363.95,20,CE,81300.0,Sell,2024-12-04,Wednesday,09:38:00,454.95,-1820.0,-25.003434537711225,2024-12-06,,,Stop Loss Hit
228.2,2024-12-04,Wednesday,09:19:00,366.85,20,PE,80400.0,Sell,2024-12-04,Wednesday,11:57:00,366.85,-0.0,-0.0,2024-12-06,,,Stop Loss Hit
229,2024-12-05,,09:19:00,81090.41,,,,,2024-12-05,,09:40:00,81012.83,-2140.0,,,0,-2269.0,
229.1,2024-12-05,Thursday,09:19:00,368.35,20,CE,81400.0,Sell,2024-12-05,Thursday,09:40:00,382.05,-273.9999999999998,-3.719288719967419,2024-12-06,,,Stop Loss Hit
229.2,2024-12-05,Thursday,09:19:00,373.15,20,PE,80700.0,Sell,2024-12-05,Thursday,09:39:00,466.45,-1866.0000000000002,-25.003349859305917,2024-12-06,,,Stop Loss Hit
230,2024-12-06,,09:19:00,81752.74,,,,,2024-12-06,,15:15:00,81725.14,14099.0,,,14099.0,0,Exit Condition Met For Trade
230.1,2024-12-06,Friday,09:19:00,353.55,20,CE,81900.0,Sell,2024-12-06,Friday,15:15:00,0.35,7064.0,99.90100410125866,2024-12-06,,,Exit Condition Met For Trade
230.2,2024-12-06,Friday,09:19:00,352.1,20,PE,81600.0,Sell,2024-12-06,Friday,15:15:00,0.35,7035.0,99.90059642147116,2024-12-06,,,Exit Condition Met For Trade
231,2024-12-09,,09:19:00,81662.93,,,,,2024-12-09,,15:15:00,81480.56,2458.0,,,2697.0,-168.0,Exit Condition Met For Trade
231.1,2024-12-09,Monday,09:19:00,357.15,20,CE,82400.0,Sell,2024-12-09,Monday,15:15:00,255.35,2035.9999999999995,28.503429931401367,2024-12-13,,,Exit Condition Met For Trade
231.2,2024-12-09,Monday,09:19:00,351.25,20,PE,80900.0,Sell,2024-12-09,Monday,15:15:00,330.15,422.00000000000045,6.007117437722426,2024-12-13,,,Exit Condition Met For Trade
232,2024-12-10,,09:19:00,81520.5,,,,,2024-12-10,,15:15:00,81517.24,-255.0,,,2452.0,-501.0,Exit Condition Met For Trade
232.1,2024-12-10,Tuesday,09:19:00,363.45,20,CE,82000.0,Sell,2024-12-10,Tuesday,15:15:00,286.25,1543.9999999999998,21.24088595405145,2024-12-13,,,Exit Condition Met For Trade
232.2,2024-12-10,Tuesday,09:19:00,359.85,20,PE,81100.0,Sell,2024-12-10,Tuesday,12:36:00,449.8,-1798.9999999999998,-24.996526330415445,2024-12-13,,,Stop Loss Hit
233,2024-12-11,,09:19:00,81523.72,,,,,2024-12-11,,15:15:00,81564.79,704.0,,,1508.0,-165.0,Exit Condition Met For Trade
233.1,2024-12-11,Wednesday,09:19:00,354.15,20,CE,81700.0,Sell,2024-12-11,Wednesday,11:38:00,442.7,-1771.0000000000002,-25.003529577862494,2024-12-13,,,Stop Loss Hit
233.2,2024-12-11,Wednesday,09:19:00,329.3,20,PE,81300.0,Sell,2024-12-11,Wednesday,15:15:00,205.55,2475.0,37.57971454600668,2024-12-13,,,Exit Condition Met For Trade
234,2024-12-12,,09:19:00,81599.52,,,,,2024-12-12,,09:47:00,81547.74,-1725.0,,,894.0,-1725.0,
234.1,2024-12-12,Thursday,09:19:00,345.0,20,CE,81500.0,Sell,2024-12-12,Thursday,09:36:00,431.25,-1725.0,-25.0,2024-12-13,,,Stop Loss Hit
234.2,2024-12-12,Thursday,09:19:00,331.5,20,PE,81700.0,Sell,2024-12-12,Thursday,09:47:00,331.5,-0.0,-0.0,2024-12-13,,,Stop Loss Hit
235,2024-12-13,,09:19:00,81074.52,,,,,2024-12-13,,11:55:00,80862.4,-1664.0,,,4282.0,-1664.0,
235.1,2024-12-13,Friday,09:19:00,359.7,20,CE,80900.0,Sell,2024-12-13,Friday,11:55:00,359.7,-0.0,-0.0,2024-12-13,,,Stop Loss Hit
235.2,2024-12-13,Friday,09:19:00,332.9,20,PE,81200.0,Sell,2024-12-13,Friday,09:21:00,416.1,-1664.000000000001,-24.992490237308512,2024-12-13,,,Stop Loss Hit
236,2024-12-16,,09:19:00,81989.21,,,,,2024-12-16,,09:33:00,81881.3,-1756.0,,,0,-1756.0,
236.1,2024-12-16,Monday,09:19:00,355.45,20,CE,82500.0,Sell,2024-12-16,Monday,09:33:00,355.45,-0.0,-0.0,2024-12-20,,,Stop Loss Hit
236.2,2024-12-16,Monday,09:19:00,351.2,20,PE,81600.0,Sell,2024-12-16,Monday,09:30:00,439.0,-1756.0000000000002,-25.000000000000007,2024-12-20,,,Stop Loss Hit
237,2024-12-17,,09:19:00,81490.75,,,,,2024-12-17,,15:15:00,80708.51,2325.0,,,2403.0,-881.0,Exit Condition Met For Trade
237.1,2024-12-17,Tuesday,09:19:00,361.4,20,CE,82200.0,Sell,2024-12-17,Tuesday,15:15:00,159.15,4044.9999999999995,55.962921970116206,2024-12-20,,,Exit Condition Met For Trade
237.2,2024-12-17,Tuesday,09:19:00,344.0,20,PE,81000.0,Sell,2024-12-17,Tuesday,09:51:00,430.0,-1720.0,-25.0,2024-12-20,,,Stop Loss Hit
238,2024-12-18,,09:19:00,80556.0,,,,,2024-12-18,,09:24:00,80621.34,-1742.0,,,0,-1742.0,
238.1,2024-12-18,Wednesday,09:19:00,348.4,20,CE,81100.0,Sell,2024-12-18,Wednesday,09:21:00,435.5,-1742.0000000000005,-25.000000000000007,2024-12-20,,,Stop Loss Hit
